provincia,canton,latitud,longitud,AÑO,ASESINATO,FEMICIDIO,HOMICIDIO,SICARIATO,TOTAL
IMBABURA,IMBABURA,0.3049340418092398,-78.26761727758769,2021.0,0.0,0.0,1.0,0.0,1.0
IMBABURA,IMBABURA,0.3383963097315963,-78.1440322536912,2021.0,6.0,2.0,3.0,0.0,11.0
IMBABURA,IMBABURA,0.2299251589441741,-78.26690098807444,2021.0,1.0,0.0,3.0,0.0,4.0
IMBABURA,IMBABURA,0.3896499811855805,-77.94248352508588,2021.0,0.0,0.0,0.0,0.0,0.0
IMBABURA,IMBABURA,0.4189441852979647,-78.19557061960269,2021.0,1.0,0.0,0.0,0.0,1.0
LOJA,LOJA,-4.3238084690524765,-79.55592562540329,2021.0,0.0,0.0,0.0,0.0,0.0
LOJA,LOJA,-3.990903559891173,-79.3627320798549,2021.0,1.0,0.0,0.0,0.0,1.0
LOJA,LOJA,-4.104818873572961,-79.9607110314306,2021.0,0.0,0.0,0.0,0.0,0.0
LOJA,LOJA,-3.87911266952336,-79.64602585936447,2021.0,0.0,0.0,1.0,0.0,1.0
LOJA,LOJA,-4.232270866122534,-79.43668008816338,2021.0,1.0,0.0,0.0,0.0,1.0
LOJA,LOJA,-4.389139325563752,-79.94870153408499,2021.0,0.0,0.0,0.0,0.0,0.0
LOJA,LOJA,-3.935587932511903,-79.64742931001588,2021.0,1.0,0.0,0.0,0.0,1.0
LOJA,LOJA,-4.080424852812222,-79.83139907041628,2021.0,0.0,0.0,1.0,0.0,1.0
LOJA,LOJA,-4.116898510511171,-80.10868814734823,2021.0,0.0,0.0,0.0,0.0,0.0
LOJA,LOJA,-4.00323886349605,-80.10005131799474,2021.0,0.0,0.0,0.0,0.0,0.0
LOJA,LOJA,-4.297530984398054,-79.4014801791974,2021.0,0.0,0.0,0.0,0.0,0.0
LOJA,LOJA,-3.622839558441898,-79.2395219445892,2021.0,0.0,1.0,0.0,0.0,1.0
LOJA,LOJA,-4.329458162465337,-79.79187524995378,2021.0,0.0,0.0,0.0,0.0,0.0
